	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	group	FC_4
FBgn0000008	FBgn0000008	95.1440789963134	0.00215142369260279	0.223883804752994	0.00960955480891708	0.992332802584654	0.997079785610217	No-Change	
FBgn0000014	FBgn0000014	1.05657219346166	-0.496735568504741	2.16026425863675	-0.229942039043969	0.818136808992673	NA	No-Change	
FBgn0000015	FBgn0000015	0.846723274987709	-1.882761702492	2.10643223437349	-0.893815462832576	0.371420634504101	NA	No-Change	
FBgn0000017	FBgn0000017	4352.5928987935	-0.240025230003102	0.126024321532738	-1.90459450274247	0.0568328017332003	0.286253207606915	No-Change	
FBgn0000018	FBgn0000018	418.614930505122	-0.104799112236756	0.148280289959418	-0.706763604693776	0.479713395570252	0.828311643104805	No-Change	
FBgn0000024	FBgn0000024	6.40628919476961	0.210807084257525	0.690348536364953	0.305363266745715	0.760089495414556	0.943891714142544	No-Change	
FBgn0000028	FBgn0000028	0.438900024085017	1.41421471080789	2.77952373288438	0.508797494360779	0.610894175893272	NA	No-Change	
FBgn0000032	FBgn0000032	989.730032286706	-0.0919050485188914	0.147697433766971	-0.622252169011237	0.533776067096768	0.853679210874627	No-Change	
FBgn0000036	FBgn0000036	0.589596332729872	-0.0654492210493468	2.30477082866444	-0.0283972793456749	0.977345294095337	NA	No-Change	
FBgn0000037	FBgn0000037	14.0948138653578	0.463068060182546	0.491402582682969	0.942339492100913	0.346018855169738	0.74569086276793	No-Change	
FBgn0000039	FBgn0000039	0.438900024085017	1.41421471080789	2.77952373288438	0.508797494360779	0.610894175893272	NA	No-Change	
FBgn0000042	FBgn0000042	82207.7246355838	0.314524848355415	0.140541527865201	2.23794954511301	0.0252243455710893	0.166941453358076	No-Change	
FBgn0000043	FBgn0000043	31162.0800981548	0.61957873215495	0.123317574099958	5.02425332866776	5.05394906595279e-07	1.75604017135851e-05	No-Change	
FBgn0000044	FBgn0000044	27.0142162829088	0.414972810163931	0.414720947446224	1.00060730647742	0.317016696330138	0.724234316528381	No-Change	
FBgn0000045	FBgn0000045	6.49768786824646	0.152661935202466	0.71389993002283	0.213842205023867	0.830670111280372	0.962777478158354	No-Change	
FBgn0000046	FBgn0000046	23.6865655871929	0.60423854767274	0.461037057255646	1.31060733223813	0.189990460750846	0.574443340315861	No-Change	
FBgn0000047	FBgn0000047	9.27446768376142	0.682066956504117	0.658141000318943	1.03635384541243	0.300037094330187	0.707572278366835	No-Change	
FBgn0000052	FBgn0000052	2342.87838063352	-0.13549599915009	0.136696700529763	-0.991216310452116	0.321579967886345	0.726393331428289	No-Change	
FBgn0000053	FBgn0000053	2100.27876868186	0.296060124559068	0.137257340668207	2.15697115445895	0.0310079120612235	0.19202708433532	No-Change	
FBgn0000054	FBgn0000054	654.288209497534	-0.119920698613226	0.118496314265365	-1.0120204949554	0.311528254182366	0.717922157194054	No-Change	
